,Unnamed: 0,url,id,datetime,location,username,displayname,verified,followerCount,friendsCount,language,content,bio,likes,retweets,quotes,comments,"hashtags",content_re
0,0,https://twitter.com/Journalist_Anuj/status/837792278500474880,837792278500474880,2017-03-03 22:30:19+00:00,Delhi,Journalist_Anuj,Anuj Tayal,False,1398,680,en,Delhi MCD polls: Volunteers help Congress choose candidates https://t.co/t4qjACV61N https://t.co/xXWtEafEvY,"Founder and CEO @TrendyNewsNet
Followed by @nsitharamanoffc @TcGehlotOffice @KapilMishra_IND and many verified accounts",0,0,0,0,"",Delhi MCD polls: Volunteers help Congress choose candidates https://t.co/t4qjACV61N https://t.co/xXWtEafEvY
1,1,https://twitter.com/Journalist_Anuj/status/837790254622859264,837790254622859264,2017-03-03 22:22:16+00:00,Delhi,Journalist_Anuj,Anuj Tayal,False,1398,680,en,Delhi MCD polls: Volunteers help Congress choose candidates https://t.co/t4qjACV61N https://t.co/xXWtEafEvY,"Founder and CEO @TrendyNewsNet
Followed by @nsitharamanoffc @TcGehlotOffice @KapilMishra_IND and many verified accounts",0,0,0,0,"",Delhi MCD polls: Volunteers help Congress choose candidates https://t.co/t4qjACV61N https://t.co/xXWtEafEvY
2,2,https://twitter.com/Sumit_Kumar11J/status/837785175828353025,837785175828353025,2017-03-03 22:02:05+00:00,"Delhi, India",Sumit_Kumar11J,Hi,False,797,1418,en,"From secret war room, Congress tests new strategy to select candidates https://t.co/FthuxEMidr #delhi",hi,0,0,0,0,"['delhi']","From secret war room, Congress tests new strategy to select candidates https://t.co/FthuxEMidr #delhi"
3,3,https://twitter.com/shivadhir20081/status/837756074136588289,837756074136588289,2017-03-03 20:06:27+00:00,,shivadhir20081,Gaurav Dhir,False,1373,3087,et,#Congress @Paharganjcong CongressPartyZindabad AjayMakenJi ZindabadCongress kaa HaathJannJann ke Saath kyonkiCongress karegi Delhi ka Vikaas https://t.co/ezVA2tvGTy,,0,0,0,0,"['Congress']",#Congress @paharganjcong Congresspartyzindabad ajaymakenji zindabadcongress kaa haathjannjann ke saath kyonkicongress karegi delhi ka vikaas https://t.co/ezva2tvgty
4,4,https://twitter.com/shivadhir20081/status/837755843193925632,837755843193925632,2017-03-03 20:05:32+00:00,,shivadhir20081,Gaurav Dhir,False,1373,3087,et,#congress @DalipGautam2 CongressPartyZindabad AjayMakenJi ZindabadCongress kaa HaathJannJann ke Saath kyonki Congress karegi Delhi ka Vikaas https://t.co/OcRbwjj9Nn,,0,0,0,0,"['congress']",19
5,5,https://twitter.com/shivadhir20081/status/837755693595779072,837755693595779072,2017-03-03 20:04:56+00:00,,shivadhir20081,Gaurav Dhir,False,1373,3087,et,#congress @Sharmistha_GK CongressPartZindabad AjayMakenJi ZindabadCongress kaa HaathJannJann ke Saath kyonki Congress karegi Delhi ka Vikaas https://t.co/5U9s4ZHyMY,,0,0,0,0,"['congress']",#congress @sharmistha_gk conongresspartzindabad ajaymakenji zindabadcongress kaa haathjannjann ke saath kyonki Congress Kargi Delhi Ka Vikaas https://t.co/5u9s4zhymy
6,6,https://twitter.com/shivadhir20081/status/837755506705977345,837755506705977345,2017-03-03 20:04:12+00:00,,shivadhir20081,Gaurav Dhir,False,1373,3087,et,#congress @AniruddhINC CongressPartyZindabad Ajay MakenJi ZindabadCongress kaa HaathJannJann ke Saath kyonki Congress karegi Delhi ka Vikaas https://t.co/UoabjfW4sW,,0,0,0,0,"['congress']",19
7,7,https://twitter.com/shivadhir20081/status/837755325428031488,837755325428031488,2017-03-03 20:03:28+00:00,,shivadhir20081,Gaurav Dhir,False,1373,3087,et,#Congress @iamJagjeevan CongressPartyZindabad AjayMakenJi ZindabadCongress kaa HaathJannJann ke Saath kyonki Congress karegi Delhi ka Vikaas https://t.co/UcvO8LonTy,,0,0,0,0,"['Congress']",19
8,8,https://twitter.com/shivadhir20081/status/837755097882861568,837755097882861568,2017-03-03 20:02:34+00:00,,shivadhir20081,Gaurav Dhir,False,1373,3087,et,#congress @ajaymaken Congress Party Zindabad Ajay MakenJi ZindabadCongress kaa HaathJannJann ke Saath kyonki Congress karegi Delhi ka Vikaas https://t.co/SJFlXPm94D,,0,0,0,0,"['congress']",19
9,9,https://twitter.com/subramaniam755/status/837747347396292608,837747347396292608,2017-03-03 19:31:46+00:00,"New Delhi, India",subramaniam755,Reena Subramanian,False,12,152,tl,03-03-2017.Sh.P C  CHACKO JI Incharg https://t.co/VULYP7vcoN.With Mrs.Reena Subramanian.Secretary.Delhi Pradesh Mahila Congress at AICC https://t.co/4gQYK01Jg0,"Secretary at Delhi Pradesh Mahila Congress.2016
Secretary at Delhi Pradesh Mahila Congress.2013
Gen.Secretary at Adarsh Nagar Youth Congress.2010
Secretary.ANYC",0,0,0,0,"",03-03-2017.Sh.P C  CHACKO JI Incharg https://t.co/VULYP7vcoN.With Mrs.Reena Subramanian.Secretary.Delhi Pradesh Mahila Congress at AICC https://t.co/4gQYK01Jg0
10,10,https://twitter.com/dijen_shah/status/837747281499582465,837747281499582465,2017-03-03 19:31:31+00:00,"Bhavnagar,Gujarat, India",dijen_shah,Official - HOD B N VIRANI SCIENCE SCHOOL Bhavnagar,False,431,441,en,Make Delhi bjp Congress free https://t.co/otN3UrpkaE,"M.SC,M.phil(maths),M.Ed.
HOD @B N VIRANI SCIENCE ACADEMY
Administrator and skill developer as profession./chess/vegetarian-JAIN.",0,0,0,0,"",Make Delhi bjp Congress free https://t.co/otN3UrpkaE
11,11,https://twitter.com/meghnashukla11/status/837743626390228993,837743626390228993,2017-03-03 19:16:59+00:00,,meghnashukla11,meghna shukla,False,9,97,en,"@SamsungMobile India Mobile Congress | Vision 2020, March 17, 2017, The Imperial, New Delhi #IMC2020 @ETTelecom
https://t.co/W5SkqCOCdF https://t.co/rrnrrGzL7P",,0,0,0,0,"['IMC2020']","@SamsungMobile India Mobile Congress | Vision 2020, March 17, 2017, The Imperial, New Delhi #IMC2020 @ETTelecom
https://t.co/W5SkqCOCdF https://t.co/rrnrrGzL7P"
12,12,https://twitter.com/MeghrajRajeev/status/837731165452795904,837731165452795904,2017-03-03 18:27:28+00:00,"Mumbai, India",MeghrajRajeev,Raja Raj,False,226,173,en,Congress funds Lashkar which funds CPI &amp; Aap which funds Delhi University #Azaadileague. Our soldiers should fight politicians not soldiers.,"नाभिषेको न संस्कारः सिंहस्य क्रियते वने। विक्रमार्जितसत्वस्य स्वयमेव मृगेन्द्रता॥ 
A lion Becomes the King of the Jungle by his attributes and Heroism.",0,0,0,0,"['Azaadileague']",Congress funds Lashkar which funds CPI &amp; Aap which funds Delhi University #Azaadileague. Our soldiers should fight politicians not soldiers.
13,13,https://twitter.com/MagnuRex/status/837722708330717184,837722708330717184,2017-03-03 17:53:52+00:00,New Delhi ,MagnuRex,Debudada,False,444,340,en,"@Bong_in_Delhi There are two Hooda's in your argument , one of them a congress CM , who gave land to Sehwag, how is BJP involved ?","Architect ,Univ of Colorado Alumni, Poet , Photographer, Rock and Roll, Grunge Freak, . RTs may or may not be endorsements.",0,0,0,0,"","@Bong_in_Delhi There are two Hooda's in your argument , one of them a congress CM , who gave land to Sehwag, how is BJP involved ?"
14,14,https://twitter.com/ranaalikash/status/837717681805672452,837717681805672452,2017-03-03 17:33:54+00:00,World,ranaalikash,Afeef Ibn Albra,False,720,1224,en,New Delhi: Congress Vice President Rahul Gandhi has said the Narendra Modi government's de… https://t.co/5mueZTtllO https://t.co/uJANXdz52T,☆♡ #Great #Minds #think #alone ♡☆,0,0,0,0,"",New Delhi: Congress Vice President Rahul Gandhi has said the Narendra Modi government's de… https://t.co/5mueZTtllO https://t.co/uJANXdz52T
15,15,https://twitter.com/ranaalikash/status/837717660502745088,837717660502745088,2017-03-03 17:33:48+00:00,World,ranaalikash,Afeef Ibn Albra,False,720,1224,en,New Delhi: The Congress on Friday accused Prime Minister Narendra Modi of using army jawan… https://t.co/sqja4VUpCs https://t.co/ZkPI0uU5ui,☆♡ #Great #Minds #think #alone ♡☆,0,0,0,0,"",New Delhi: The Congress on Friday accused Prime Minister Narendra Modi of using army jawan… https://t.co/sqja4VUpCs https://t.co/ZkPI0uU5ui
