,Unnamed: 0,url,id,datetime,location,username,displayname,verified,followerCount,friendsCount,language,content,bio,likes,retweets,quotes,comments,"hashtags",content_re
0,0,https://twitter.com/SabauunG/status/837809213749530626,837809213749530626,2017-03-03 23:37:36+00:00,Quetta (Kwatta کوټه),SabauunG,Sabaun Gran💧سباوون ګران,False,5815,505,en,"We have our bets wrongly placed. If #Punjab cant different b/w us that means we r one nation divided by an unjust line
#Pashtuns
#Durandline https://t.co/FcvDMwFSHa","Je suis #Afghan.
#DurandLine is a curse of division and suffering unleashed by the British upon Pashtuns. Pakistan is a henchman standing guard on it.",2,0,0,0,"['Punjab', 'Pashtuns', 'Durandline']","We have our bets wrongly placed. If #Punjab cant different b/w us that means we r one nation divided by an unjust line
#Pashtuns
#Durandline https://t.co/FcvDMwFSHa"
1,1,https://twitter.com/AHA1R/status/837807422068703232,837807422068703232,2017-03-03 23:30:29+00:00,"Surabaya, East Java, Indonesia",AHA1R,احمد حسين,False,5596,354,en,Prize offered for BC high school students who write creatively in Punjabi https://t.co/kqZghf1xBp #news #Punjabi #Punjab,Husband. Lover. Friend. Teacher. Nenávist ti nesluší! •RT ≠ endorsement• 1/2 of @hoomanoearth #Romani #Florida iA7med80@outlook.com $minhtam80,0,0,0,0,"['news', 'Punjabi', 'Punjab']",Prize offered for BC high school students who write creatively in Punjabi https://t.co/kqZghf1xBp #news #Punjabi #Punjab
2,2,https://twitter.com/tatom2k/status/837798843739684867,837798843739684867,2017-03-03 22:56:24+00:00,Still looking & moving,tatom2k,Tatom,False,1033,811,en,&amp; #Hyderabad is in #Punjab... u forgot to tag @BBhuttoZardari @BakhtawarBZ @AseefaBZ @AAliZardari @MediaCellPPP https://t.co/PNO4DiPFHj,"Love Allah,family,Cuban music,Hate racism,have to see last 4 of Buena Vista Social Club & Castro before dey die & have 2 go 2 Antarctica.All tweets r personal!",0,0,0,0,"['Hyderabad', 'Punjab']",& Emp;#Hyderabad in #Punjab ...
3,3,https://twitter.com/mohsenabbas000/status/837780452379361280,837780452379361280,2017-03-03 21:43:19+00:00,,mohsenabbas000,Mohsen,False,206,608,en,#Pathans are coming to #Punjab ab Kia hoga! 😇 #PeshawarZalmi #PslFinalLahore,Digital Marketer & Performance marketing expert. digital consultant. Nature build entrepreneur.  Google Digital Guru Black Belt certified,0,0,0,0,"['Pathans', 'Punjab', 'PeshawarZalmi', 'PslFinalLahore']",#Pathans are coming to #Punjab Ab Kya Hoga!😇 #peshawarzalmi #PSLFINALLHORE
4,4,https://twitter.com/AghaFahad_/status/837769592999116800,837769592999116800,2017-03-03 21:00:10+00:00,Heaven ,AghaFahad_,آغا فہد,False,677,741,und,"https://t.co/ymr4l5vaKb
#Pakistan #desert #Fort #Punjab",#Poetry ~ #Humanity ~ #Photography ~,0,0,0,0,"['Pakistan', 'desert', 'Fort', 'Punjab']","https://t.co/ymr4l5vaKb
#Pakistan #desert #Fort #Punjab"
5,5,https://twitter.com/rbasitj/status/837767663472553985,837767663472553985,2017-03-03 20:52:30+00:00,Islamabad,rbasitj,BasiTweets,False,83,578,en,"Those blaming #Punjab for Ignoring Balochistan and KPK,
Look Lahore not playing in #Lahore but #Quetta &amp; #Zalmi are!
#KKvPZ
#PSLUnites #PSL","Adventurer, Chauvinist, Ailurophobic
#ClimateChangeisReal",2,0,0,0,"['Punjab', 'Lahore', 'Quetta', 'Zalmi', 'KKvPZ', 'PSLUnites', 'PSL']","Those blaming #Punjab for Ignoring Balochistan and KPK,
Look Lahore not playing in #Lahore but #Quetta &amp; #Zalmi are!
#KKvPZ
#PSLUnites #PSL"
6,6,https://twitter.com/engr_nomi_khan/status/837759920216936450,837759920216936450,2017-03-03 20:21:44+00:00,,engr_nomi_khan,Numan khan,False,11,115,tl,#PeshawarZalmi and #QuettaGladiators coming to #lahore . #punjab #government ab kya karo gay . ye tu saray pathan h.,,0,1,0,0,"['PeshawarZalmi', 'QuettaGladiators', 'lahore', 'punjab', 'government']",#Peshvalami and #Quetagladiators Cumming to #Lahore.#Punjab #Government will do what will do now.You all the Pathans.
7,7,https://twitter.com/worker_420/status/837758357188521989,837758357188521989,2017-03-03 20:15:31+00:00,Earth ,worker_420,Worker,False,45,563,en,@thePSLt20 @darrensammy88 #afridi get ready for #racial #profiling in #punjab to play #psl final.🤔,Human,0,0,0,0,"['afridi', 'racial', 'profiling', 'punjab', 'psl']",@thePSLt20 @darrensammy88 #afridi get ready for #racial #profiling in #punjab to play #psl final.🤔
8,8,https://twitter.com/SadeemSultanS/status/837758145850138624,837758145850138624,2017-03-03 20:14:41+00:00,"Michigan, USA",SadeemSultanS,Sadeem,False,1534,248,en,"#SouthernPashtun
          versus
#NorthernPashtun

In The Middle Of #Punjab

God bless #Pakistan against racist Shareef brothers &amp; lackeys!",,2,0,1,0,"['SouthernPashtun', 'NorthernPashtun', 'Punjab', 'Pakistan']","#SouthernPashtun
          versus
#NorthernPashtun

In The Middle Of #Punjab

God bless #Pakistan against racist Shareef brothers &amp; lackeys!"
9,9,https://twitter.com/worker_420/status/837757422483668993,837757422483668993,2017-03-03 20:11:48+00:00,Earth ,worker_420,Worker,False,45,563,en,@PervezKhattakCM @PTIofficial I am worried for  #Pashtuns players as #punjab govt is set to make them profiling racially ahead of #psl final,Human,0,0,0,0,"['Pashtuns', 'punjab', 'psl']",@PervezKhattakCM @PTIofficial I am worried for  #Pashtuns players as #punjab govt is set to make them profiling racially ahead of #psl final
10,10,https://twitter.com/SyedIHusain/status/837756836581363714,837756836581363714,2017-03-03 20:09:29+00:00,Great Britain ,SyedIHusain,Syedih,False,27013,793,en,"People are lonely because they build walls instead of bridges. 
#ShahbazSharif
#Lahore #Punjab #KP",Pollyannaish I Calceophile I  dailytimes.com.pk/writer/syed-i-… I nation.com.pk/blogger/syed-h… I @nayadaurpk,8,2,0,3,"['ShahbazSharif', 'Lahore', 'Punjab', 'KP']","People are lonely because they build walls instead of bridges. 
#ShahbazSharif
#Lahore #Punjab #KP"
11,11,https://twitter.com/NewsPunjabToday/status/837755486489423872,837755486489423872,2017-03-03 20:04:07+00:00,"Chandigarh, India",NewsPunjabToday,Patil Sharma,False,101,102,es,Mural Sector 17 Chandigarh https://t.co/UeDl5CQHv9 #Punjab,Punjab News International Updates. #Punjab #News #Punjabi #Chandigarh #Ludhiana #Patiala #Bhangra #Entertainment #Cooking,0,0,0,0,"['Punjab']",Mural Sector 17 Chandigarh https://t.co/UeDl5CQHv9 #Punjab
12,12,https://twitter.com/PiscesMagicMoon/status/837741024919371776,837741024919371776,2017-03-03 19:06:39+00:00,"Birmingham, England",PiscesMagicMoon,PiscesMagic,False,74,123,en,"Quick #question....you have punjabis from #punjab, gujaratis from #gujarat...but what are the people of #uttarpradesh referred to as? #india","BTS, K-Dramas, Netflix, Gaming, Art, Music, the Universe and Food

Just trying to get through life like everyone else...",0,0,0,0,"['question', 'punjab', 'gujarat', 'uttarpradesh', 'india']","Quick #question....you have punjabis from #punjab, gujaratis from #gujarat...but what are the people of #uttarpradesh referred to as? #india"
13,13,https://twitter.com/mantralayatimes/status/837735178080485376,837735178080485376,2017-03-03 18:43:25+00:00,"Mumbai, Maharashtra",mantralayatimes,Mantralaya Times,False,2254,1133,en,"#ShahpurKandi Dam Project : #Punjab, #JammuAndKashmir sign fresh pact.

— All India Radio News (airnewsalerts) March 3, 2017",Mantralaya Times is 1st political news agency in India dedicated to support every effort for good governance & to encourage accountability in politics. RTnE,0,0,0,0,"['ShahpurKandi', 'Punjab', 'JammuAndKashmir']","#ShahpurKandi Dam Project : #Punjab, #JammuAndKashmir sign fresh pact.

— All India Radio News (airnewsalerts) March 3, 2017"
