,Unnamed: 0,url,id,datetime,location,username,displayname,verified,followerCount,friendsCount,language,content,bio,likes,retweets,quotes,comments,"hashtags",content_re
0,0,https://twitter.com/hAtEu5tup1dB1rD/status/1495166595144232965,1495166595144232965,2022-02-19 22:41:09+00:00,#FreeAllSikhPoliticalPrisoners,hAtEu5tup1dB1rD,☬.ਸਟੈਨ ⚔️🌸🤡,False,521,430,en,"✔️#DeepSidhu was campaigning for SADA (Shiromani Akali Dal Amritsar), headed by @SimranjitSADA 
Following is the candidate list, note the symbolS
Let’s make the votes count
#VoteForSimranjitSinghMann 
#PunjabElections 

Reminder: SADA &amp; SAD are two DIFFERENT political parties: https://t.co/YpcP8uz0bJ",award winning “JoUrNaLiSt”#### ALL political parties!#ShaheedDeepSidhu #ISupportNihangSinghs #PritiPatelMustGo #FreeHawara #FreeJaggiNow #SGPC_LeaveTakhatSahib,5,4,0,0,"['DeepSidhu', 'VoteForSimranjitSinghMann', 'PunjabElections']","✔️#DeepSidhu was campaigning for SADA (Shiromani Akali Dal Amritsar), headed by @SimranjitSADA 
Following is the candidate list, note the symbolS
Let’s make the votes count
#VoteForSimranjitSinghMann 
#PunjabElections 

Reminder: SADA &amp; SAD are two DIFFERENT political parties: https://t.co/YpcP8uz0bJ"
1,1,https://twitter.com/Liza05603394/status/1495157628233826305,1495157628233826305,2022-02-19 22:05:31+00:00,India,Liza05603394,/_!2@🌾,False,447,275,en,@saahilmenghani @ambkcsingh Dera has issued massage to followers to vote BJP and AkaliDal 😤🤯 @saahilmenghani @Kisanektamorcha @Baljit_ITCell @iamrajbuttar @BaltejPannu @iJasOberoi @_garrywalia,"Aan Kisani, Shaan kisani, Pehchaan Kisani,Dharm Kisani. Joined Twitters for Shehnaaz in jan 2020 nd continue to support SidNaaz ❤️.",2,0,0,0,"",@saahilmenghani @ombkcsingh dera has Issued massage to followers to Vote BJP and Akalidal 😤🤯 @saahilmenghani @kisanektamorcha @baljit_itCell @Imrajbuttar
2,2,https://twitter.com/pmand85/status/1495153363939467265,1495153363939467265,2022-02-19 21:48:35+00:00,,pmand85,Mand P,False,1,21,hi,@TheDeshBhakt Isne Punjab me akali dal se milkar pani wali bus chalayi thi 😂😂😂,,0,0,0,0,"",@Theedeshbhakt Isne Punjab Me Akali Dal Se Milkar Pani Wali Bus Chalayi Thi 😂😂😂
3,3,https://twitter.com/WakeUP38960723/status/1495149026995548168,1495149026995548168,2022-02-19 21:31:21+00:00,,WakeUP38960723,WakeUP,False,3,11,en,"@capt_amarinder Hope you enjoyed the campaign.This was ur last campaign before disappearing from Punjab‘s political scene. U &amp; ur buddies in congress, BJP, Akali Dal are all done. Good luck with your retirement. Hope you have developed some hobby other than screwing Punjabis to keep urself busy.",be fair and stand up against injustice...,0,0,1,0,"","@capt_amarinder Hope you enjoyed the campaign.This was ur last campaign before disappearing from Punjab‘s political scene. U &amp; ur buddies in congress, BJP, Akali Dal are all done. Good luck with your retirement. Hope you have developed some hobby other than screwing Punjabis to keep urself busy."
4,4,https://twitter.com/Singhmaan923/status/1495144670581645314,1495144670581645314,2022-02-19 21:14:02+00:00,,Singhmaan923,ЅℐℕᎶℋℳᎯᎯℕ,False,954,1402,pa,"ਤੁਹਾਡੀ ਇੱਕ-ਇੱਕ ਵੋਟ ਬਹੁਤ ਮਾਇਨੇ ਰੱਖਦੀ ਆ,,
ਵੋਟ ਪਾਉਣ ਤੋਂ ਪਹਿਲਾਂ ਅਪਣੀ ਜਮੀਰ ਤੋਂ ਸਵਾਲ
ਜਰੂਰ ਪੁੱਛਣਾ 
@SimranjitSADA
@AkaliDal_A
#PunjabElections
#VoteForSimranjitSinghMann https://t.co/FVoo1Hj2Zl","ਸਰਬੱਤ ਦਾ ਭਲਾ 
.

☬sᴀʀᴅᴀʀɪ☬
.

Don't look for a good person in life, Be yourself good. after meeting you, maybe someone's quest is complete.",21,8,2,1,"['PunjabElections', 'VoteForSimranjitSinghMann']","One of your votes is matched very much,
Questions from your cheeper before voting
Additional asking
@Simranjitsada
@Akalidal_a
#Punjabelections
#Voteforsimranjitsingings How to https://t.co/fooo1hj2z"
5,5,https://twitter.com/peo13_thereturn/status/1495143523192291329,1495143523192291329,2022-02-19 21:09:29+00:00,,peo13_thereturn,Miya Dilsaaf Khan Dhillon,False,78,142,en,@SikhAesthetics akali dal doesnt give ticket to people like him,ਦਾਸਨਿ ਦਾਸ,3,0,0,0,"",@SikhAesthetics akali dal doesnt give ticket to people like him
6,6,https://twitter.com/anhilation_/status/1495137416679624709,1495137416679624709,2022-02-19 20:45:13+00:00,,anhilation_,annihilate_caste,False,768,1988,und,#BSP_SAD_Alliance is winning Punjab. @jasvirpunjab @JasvirGhari @Akali_Dal_ @officialYAD @bspindia इस thread ko viral करे 👍👍 https://t.co/CvQ5GaMI8n,"सर्व जन हिताय, सर्व जन सुखाय A patriot must always be ready to defend his country against his government.  #cyber #nft #equality s",0,0,0,0,"['BSP_SAD_Alliance']",#BSP_sad_Allion is winning Punjab.@jasvirpunjab @jasvirghari @akali_dal_ @officialyad @bspindia is thread ko viral
7,7,https://twitter.com/Singhmaan923/status/1495136713974460419,1495136713974460419,2022-02-19 20:42:25+00:00,,Singhmaan923,ЅℐℕᎶℋℳᎯᎯℕ,False,954,1402,pa,"ਤੁਹਾਡੀ ਇੱਕ-ਇੱਕ ਵੋਟ ਬਹੁਤ ਮਾਇਨੇ ਰੱਖਦੀ ਆ,,

@SimranjitSADA
@AkaliDal_A

#VoteForSimranjitSinghMann

https://t.co/hip1de28yC","ਸਰਬੱਤ ਦਾ ਭਲਾ 
.

☬sᴀʀᴅᴀʀɪ☬
.

Don't look for a good person in life, Be yourself good. after meeting you, maybe someone's quest is complete.",2,1,0,0,"['VoteForSimranjitSinghMann']","One of your votes is matched very much,

@Simranjitsada
@Akalidal_a

#Voteforsimranjitsinghmannnnn

https://t.co/hip1de28yc"
8,8,https://twitter.com/rahulduggal18/status/1495133071439323139,1495133071439323139,2022-02-19 20:27:57+00:00,India,rahulduggal18,Rahul Duggal,False,227,976,in,@satty643 Majha - akali dal. How?,DevOps | Travel | Punjab | Pune | India 🇮🇳 | Curious |  Early Adopter of Twitter since ‘09.,0,0,0,0,"",@ satty643 majha - akali dalHow?
9,9,https://twitter.com/Awadhtrk/status/1495132893936553988,1495132893936553988,2022-02-19 20:27:14+00:00,"Chandigarh, India",Awadhtrk,Anuj🇮🇳,False,180,4054,in,"Punjab
Total seats- 117
AAP 33
AKALI DAL+ 32
BJP+ 27
INC 19
INDEPENDENT 5
SSM 1","When Passion Drives You,  Let The Reason Hold The Reigns...",1,0,0,1,"","Punjab
Total Seats- 117
You 33
Akali Dal+ 32
BJP+ 27
Nis 19
Independent 5
Ssam 1"
